TIME_PERIOD,AUD,CAD,CHF,DKK,GBP,ISK,JPY,NZD,SEK,USD,XDR
1991-02-07,1.4914648587254302,1.5931052578132028,6.132812188120009,4.621437158451963,2.428688969789772,2.362739015813793,1.487496241628858,1.2339586998161927,4.646120172317046,1.7380070132288081,2.1124349728055076
1991-02-08,1.4947675274504963,1.5965147671436108,6.129594724095235,4.622125626637505,2.4296581755575217,2.363680192353857,1.4931287900337171,1.2344244117817644,4.647558952479878,1.743269260067621,2.1170576026826025
1991-02-11,1.4909921572276186,1.5939384133871488,6.128723359265022,4.622027303054514,2.4296581755575217,2.3617969526258915,1.4985063517268187,1.2305173595480483,4.6471754801331215,1.7401152360757166,2.1159795731196898
1991-02-12,1.4937352113803641,1.5973450880799607,6.1255145552282375,4.621633912018757,2.4278952839594923,2.3646204839134985,1.4913298239537713,1.233842237928214,4.646024179996357,1.7402907208528624,2.115481721525835
1991-02-13,1.503299316372433,1.5996097741151205,6.125142803947428,4.623010104116422,2.429041516946605,2.362739015813793,1.4895276157615427,1.2384322003775068,4.646504049481068,1.7415182527913082,2.1145975145734646
1991-02-14,1.507383038229428,1.6038221736484648,6.12531776294186,4.622420539394619,2.429922341455241,2.362739015813793,1.4890765557629164,1.2448747956463617,4.647942277831961,1.7462389539262455,2.116863763516732
1991-02-15,1.5104790844009675,1.6064935821446502,6.124114301203446,4.622420539394619,2.431330048884608,2.3646204839134985,1.487496241628858,1.2493571753605353,4.648899948849417,1.748068780603322,2.1233722989857773
1991-02-18,1.517695361068569,1.6122938304152976,6.121944413558772,4.622027303054514,2.4315937735575797,2.3664984187376983,1.4920048155420047,1.2556160374777743,4.649474111544616,1.7546631645868795,2.1233722989857773
1991-02-19,1.5257084169025688,1.6193882432872684,6.122558596824038,4.622027303054514,2.4322966995157027,2.367436065313662,1.4911047254722358,1.2589438275704492,4.650621448892009,1.7626738883329585,2.1193206918620264
1991-02-20,1.5225283484431695,1.6190119348683736,6.125470826955716,4.622027303054514,2.432033160180932,2.3683728335320486,1.4902038245104021,1.254504308625084,4.651385609785055,1.7613861687061587,2.122168121325829
1991-02-21,1.5254691746468956,1.621801171417499,6.1257987424001925,4.622617099591812,2.4343148636719403,2.3646204839134985,1.491779868965868,1.2491564729012563,4.651672019639511,1.7637028714455296,2.1259612732237794
1991-02-22,1.5171033012313044,1.6215245735692474,6.1257987424001925,4.622125626637505,2.434753056571463,2.3683728335320486,1.491779868965868,1.244269861090473,4.651767471364874,1.760440785970628,2.122329800005973
1991-02-25,1.5313250081582654,1.6330958435847356,6.123501072975731,4.621240366165586,2.4365913728417796,2.3702437414678603,1.494700234963677,1.2643244477106783,4.654626794700683,1.7752912765207476,2.128387646070912
1991-02-26,1.5347790193205222,1.6356318365165754,6.122602452626167,4.622223940553919,2.4366788274747444,2.372111155642656,1.494251502624983,1.275558312025225,4.6549122778829055,1.7774914974303502,2.1274790417162897
1991-02-27,1.5409449159887998,1.645075290025232,6.120429278388981,4.623108331119105,2.4366788274747444,2.372111155642656,1.5022980368761967,1.273573491055772,4.657193214055243,1.7849026817648417,2.135116285981817
1991-02-28,1.5397876820769991,1.6415759099619076,6.114743563268154,4.623304756183574,2.4350158801745354,2.373043556642607,1.5034105077885702,1.2720892919006663,4.6557682387511825,1.7818774693736044,2.1329076612720597
1991-03-01,1.5492631893980304,1.6532059630663163,6.112176622270245,4.623501142672815,2.4356288667518102,2.377692565480851,1.4976120972518436,1.278653469602499,4.657003334628109,1.7925924555319468,2.136585997089033
1991-03-04,1.5434476713942544,1.6511171394255888,6.111467339502679,4.622813621160686,2.435366204227864,2.3749057545736716,1.4933534334132983,1.2785420986256604,4.6580472255888585,1.7957514904975924,2.137893216119899
1991-03-05,1.5296585034277608,1.6410140958688444,6.107646301397391,4.621240366165586,2.4319452982997527,2.3702437414678603,1.4870442642200337,1.2748878272955393,4.654531615525816,1.7852382522377896,2.131017108724711
1991-03-06,1.5347359177300668,1.6506566282500548,6.106555072320319,4.621928969803046,2.43378877860939,2.372111155642656,1.487496241628858,1.2788761743525983,4.658331734102323,1.7974101407368692,2.136713490741084
