Date,Close
28.01.2000 kl. 18.00.00,"368,38"
31.01.2000 kl. 18.00.00,"360,93"
01.02.2000 kl. 18.00.00,"366,71"
02.02.2000 kl. 18.00.00,"371,34"
03.02.2000 kl. 18.00.00,"376,29"
04.02.2000 kl. 18.00.00,"377,37"
07.02.2000 kl. 18.00.00,"374,2"
08.02.2000 kl. 18.00.00,"382,38"
09.02.2000 kl. 18.00.00,"382,35"
10.02.2000 kl. 18.00.00,"381,61"
11.02.2000 kl. 18.00.00,"381,41"
14.02.2000 kl. 18.00.00,"379,14"
15.02.2000 kl. 18.00.00,"371,3"
16.02.2000 kl. 18.00.00,"376,12"
17.02.2000 kl. 18.00.00,"379,95"
18.02.2000 kl. 18.00.00,"378,76"
21.02.2000 kl. 18.00.00,"374,48"
22.02.2000 kl. 18.00.00,"371,76"
23.02.2000 kl. 18.00.00,"376,98"
24.02.2000 kl. 18.00.00,"377,77"
25.02.2000 kl. 18.00.00,"385,34"
28.02.2000 kl. 18.00.00,"381,51"
29.02.2000 kl. 18.00.00,"386,01"
01.03.2000 kl. 18.00.00,"391,03"
02.03.2000 kl. 18.00.00,"398,98"
03.03.2000 kl. 18.00.00,"402,57"
06.03.2000 kl. 18.00.00,"405,5"
07.03.2000 kl. 18.00.00,"402,62"
08.03.2000 kl. 18.00.00,"398,35"
09.03.2000 kl. 18.00.00,"399,08"
10.03.2000 kl. 18.00.00,"402,26"
13.03.2000 kl. 18.00.00,"392,86"
14.03.2000 kl. 18.00.00,"393,57"
15.03.2000 kl. 18.00.00,"385,36"
16.03.2000 kl. 18.00.00,"390,38"
17.03.2000 kl. 18.00.00,"393,74"
20.03.2000 kl. 18.00.00,"397,39"
21.03.2000 kl. 18.00.00,"395,56"
22.03.2000 kl. 18.00.00,"396,33"
23.03.2000 kl. 18.00.00,394
24.03.2000 kl. 18.00.00,"402,36"
27.03.2000 kl. 18.00.00,"402,37"
28.03.2000 kl. 18.00.00,"403,56"
29.03.2000 kl. 18.00.00,"403,06"
30.03.2000 kl. 18.00.00,"391,66"
31.03.2000 kl. 18.00.00,"394,1"
03.04.2000 kl. 18.00.00,"386,99"
04.04.2000 kl. 18.00.00,"387,35"
05.04.2000 kl. 18.00.00,"377,52"
06.04.2000 kl. 18.00.00,"388,15"
07.04.2000 kl. 18.00.00,"393,39"
10.04.2000 kl. 18.00.00,"392,88"
11.04.2000 kl. 18.00.00,"384,96"
12.04.2000 kl. 18.00.00,"384,96"
13.04.2000 kl. 18.00.00,"384,95"
14.04.2000 kl. 18.00.00,"374,04"
17.04.2000 kl. 18.00.00,"368,15"
18.04.2000 kl. 18.00.00,"372,92"
19.04.2000 kl. 18.00.00,"378,87"
20.04.2000 kl. 18.00.00,"381,36"
25.04.2000 kl. 18.00.00,"385,04"
26.04.2000 kl. 18.00.00,"388,67"
27.04.2000 kl. 18.00.00,"385,97"
28.04.2000 kl. 18.00.00,"392,62"
02.05.2000 kl. 18.00.00,"400,66"
03.05.2000 kl. 18.00.00,"395,5"
04.05.2000 kl. 18.00.00,"394,74"
05.05.2000 kl. 18.00.00,"395,34"
08.05.2000 kl. 18.00.00,"392,92"
09.05.2000 kl. 18.00.00,"386,37"
10.05.2000 kl. 18.00.00,"378,6"
11.05.2000 kl. 18.00.00,"384,56"
12.05.2000 kl. 18.00.00,389
15.05.2000 kl. 18.00.00,"384,55"
16.05.2000 kl. 18.00.00,"393,18"
17.05.2000 kl. 18.00.00,"387,48"
18.05.2000 kl. 18.00.00,"387,38"
19.05.2000 kl. 18.00.00,"375,78"
22.05.2000 kl. 18.00.00,"368,67"
23.05.2000 kl. 18.00.00,"370,71"
24.05.2000 kl. 18.00.00,"366,48"
25.05.2000 kl. 18.00.00,"374,1"
26.05.2000 kl. 18.00.00,"369,86"
29.05.2000 kl. 18.00.00,"373,55"
30.05.2000 kl. 18.00.00,"379,08"
31.05.2000 kl. 18.00.00,"380,24"
01.06.2000 kl. 18.00.00,"385,55"
02.06.2000 kl. 18.00.00,"394,83"
05.06.2000 kl. 18.00.00,"391,39"
06.06.2000 kl. 18.00.00,"388,91"
07.06.2000 kl. 18.00.00,"386,31"
08.06.2000 kl. 18.00.00,"386,25"
09.06.2000 kl. 18.00.00,"386,76"
12.06.2000 kl. 18.00.00,"386,6"
13.06.2000 kl. 18.00.00,"385,53"
14.06.2000 kl. 18.00.00,"389,26"
15.06.2000 kl. 18.00.00,"387,84"
16.06.2000 kl. 18.00.00,"385,49"
19.06.2000 kl. 18.00.00,"384,62"
20.06.2000 kl. 18.00.00,"388,1"
21.06.2000 kl. 18.00.00,"384,95"
22.06.2000 kl. 18.00.00,"383,98"
23.06.2000 kl. 18.00.00,"383,43"
26.06.2000 kl. 18.00.00,"383,2"
27.06.2000 kl. 18.00.00,"380,92"
28.06.2000 kl. 18.00.00,"381,5"
29.06.2000 kl. 18.00.00,"372,78"
30.06.2000 kl. 18.00.00,"376,74"
03.07.2000 kl. 18.00.00,"381,87"
04.07.2000 kl. 18.00.00,"381,85"
05.07.2000 kl. 18.00.00,"379,73"
06.07.2000 kl. 18.00.00,"380,61"
07.07.2000 kl. 18.00.00,"386,85"
10.07.2000 kl. 18.00.00,"385,83"
11.07.2000 kl. 18.00.00,"385,82"
12.07.2000 kl. 18.00.00,"388,68"
13.07.2000 kl. 18.00.00,"390,68"
14.07.2000 kl. 18.00.00,"391,82"
17.07.2000 kl. 18.00.00,"394,5"
18.07.2000 kl. 18.00.00,"391,32"
19.07.2000 kl. 18.00.00,"391,48"
20.07.2000 kl. 18.00.00,"394,3"
21.07.2000 kl. 18.00.00,"389,04"
24.07.2000 kl. 18.00.00,"389,24"
25.07.2000 kl. 18.00.00,"387,76"
26.07.2000 kl. 18.00.00,"386,6"
27.07.2000 kl. 18.00.00,"381,95"
28.07.2000 kl. 18.00.00,"379,83"
31.07.2000 kl. 18.00.00,"382,63"
01.08.2000 kl. 18.00.00,"382,92"
02.08.2000 kl. 18.00.00,"383,57"
03.08.2000 kl. 18.00.00,"378,9"
04.08.2000 kl. 18.00.00,"382,47"
07.08.2000 kl. 18.00.00,"385,44"
08.08.2000 kl. 18.00.00,"386,29"
09.08.2000 kl. 18.00.00,"389,9"
10.08.2000 kl. 18.00.00,"388,62"
11.08.2000 kl. 18.00.00,"389,28"
14.08.2000 kl. 18.00.00,"392,09"
15.08.2000 kl. 18.00.00,"391,31"
16.08.2000 kl. 18.00.00,"392,71"
17.08.2000 kl. 18.00.00,"390,75"
18.08.2000 kl. 18.00.00,"391,05"
21.08.2000 kl. 18.00.00,"391,63"
22.08.2000 kl. 18.00.00,"392,53"
23.08.2000 kl. 18.00.00,"392,04"
24.08.2000 kl. 18.00.00,"390,13"
25.08.2000 kl. 18.00.00,"391,71"
28.08.2000 kl. 18.00.00,"392,99"
29.08.2000 kl. 18.00.00,"392,01"
